id,question,correct,option1,option2,option3,option4,option5,option6,option7,option8
101,,1,,,,,,,,
102,,1,,,,,,,,
103,,1,,,,,,,,
104,,1,,,,,,,,
105,,1,,,,,,,,
106,,1,,,,,,,,
107,,1,,,,,,,,
108,,1,,,,,,,,
109,,1,,,,,,,,
110,,1,,,,,,,,
111,,1,,,,,,,,
112,,1,,,,,,,,
113,,1,,,,,,,,
114,,1,,,,,,,,
115,,1,,,,,,,,
116,,1,,,,,,,,
117,,1,,,,,,,,
118,,1,,,,,,,,
119,,1,,,,,,,,
120,,1,,,,,,,,
121,,1,,,,,,,,
122,,1,,,,,,,,
123,,1,,,,,,,,
124,,1,,,,,,,,
125,,1,,,,,,,,
126,,1,,,,,,,,
127,,1,,,,,,,,
128,,1,,,,,,,,
129,,1,,,,,,,,
130,,1,,,,,,,,
131,,1,,,,,,,,
132,,1,,,,,,,,
133,,1,,,,,,,,
134,,1,,,,,,,,
135,,1,,,,,,,,
136,,1,,,,,,,,
137,,1,,,,,,,,
138,,1,,,,,,,,
139,,1,,,,,,,,
140,,1,,,,,,,,
141,,1,,,,,,,,
142,,1,,,,,,,,
143,,1,,,,,,,,
144,,1,,,,,,,,
145,,1,,,,,,,,
146,,1,,,,,,,,
147,,1,,,,,,,,
148,,1,,,,,,,,
149,,1,,,,,,,,
150,,1,,,,,,,,
151,,1,,,,,,,,
152,,1,,,,,,,,
153,,1,,,,,,,,
154,,1,,,,,,,,
155,,1,,,,,,,,
156,,1,,,,,,,,
157,,1,,,,,,,,
158,,1,,,,,,,,
159,,1,,,,,,,,
160,,1,,,,,,,,
161,,1,,,,,,,,
162,,1,,,,,,,,
163,,1,,,,,,,,
164,,1,,,,,,,,
165,,1,,,,,,,,
166,,1,,,,,,,,
167,,1,,,,,,,,
168,,1,,,,,,,,
169,,1,,,,,,,,
170,,1,,,,,,,,
171,,1,,,,,,,,
172,,1,,,,,,,,
173,,1,,,,,,,,
174,,1,,,,,,,,
175,,1,,,,,,,,
176,,1,,,,,,,,
177,,1,,,,,,,,
178,,1,,,,,,,,
179,,1,,,,,,,,
1000,"Dans cette tâche, vous entendrez (👂) des mots. Choisissez l'image qui correspond.<br><br>Par exemple, « <b>la Tour Eiffel</b> ».<br><br>Cliquez sur l'image représentant la Tour Eiffel (🗼).<br><br>Ensuite, le test commence.",1,,,,,,,,
1001,,1,,,,,,,,
1002,,1,,,,,,,,
1003,,1,,,,,,,,
1004,,1,,,,,,,,
1005,,1,,,,,,,,
1006,,1,,,,,,,,
1007,,1,,,,,,,,
1008,,1,,,,,,,,
1009,,1,,,,,,,,
1010,,1,,,,,,,,
1011,,1,,,,,,,,
1012,,1,,,,,,,,
1013,,1,,,,,,,,
1014,,1,,,,,,,,
1015,,1,,,,,,,,
1016,,1,,,,,,,,
1017,,1,,,,,,,,
1018,,1,,,,,,,,
1019,,1,,,,,,,,
1020,,1,,,,,,,,
1021,,1,,,,,,,,
1022,,1,,,,,,,,
1023,,1,,,,,,,,
1024,,1,,,,,,,,
1025,,1,,,,,,,,
1026,,1,,,,,,,,
1027,,1,,,,,,,,
1028,,1,,,,,,,,
1029,,1,,,,,,,,
1030,,1,,,,,,,,
1031,,1,,,,,,,,
1032,,1,,,,,,,,
1033,,1,,,,,,,,
1037,,1,,,,,,,,
